Survey Code,Survey,Food Group Code,Food Group,Indicator Code,Indicator,Geographic Level Code,Geographic Level,Element Code,Element,Unit,Value,Flag
"384_2021","Côte d'Ivoire - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10000","National","6121","Value","%","29.400000","E"
"384_2021","Côte d'Ivoire - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10002","Rural","6121","Value","%","22.700000","E"
"384_2021","Côte d'Ivoire - 2021","FGW0","MDD-W Food groups","6211","Percentage of women achieving MDD-W","10001","Urban","6121","Value","%","33.800000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","97.700000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","98.500000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","97.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","87.900000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","87.500000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","88.200000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","59.700000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","57.900000","E"
"384_2021","Côte d'Ivoire - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","60.900000","E"
"384_2021","Côte d'Ivoire - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","9.100000","E"
"384_2021","Côte d'Ivoire - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","9.500000","E"
"384_2021","Côte d'Ivoire - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","8.800000","E"
