Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2018,2018,1000 t,38,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2018,2018,1000 t,626,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2018,2018,kg/cap,20.44,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2018,2018,kcal/cap/d,137.27,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2018,2018,million Kcal,1535056.6,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2018,2018,g/cap/d,4.28,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2018,2018,t,47872.56,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2018,2018,g/cap/d,0.76,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2018,2018,t,8542.22,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2019,2019,1000 t,770,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2019,2019,1000 t,38,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2019,2019,1000 t,148,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2019,2019,1000 t,584,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2019,2019,1000 t,12,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2019,2019,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2019,2019,1000 t,35,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2019,2019,1000 t,537,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2019,2019,kg/cap,17.18,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2019,2019,kcal/cap/d,116.21,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2019,2019,million Kcal,1325913.24,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2019,2019,g/cap/d,3.63,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2019,2019,t,41466.03,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2019,2019,g/cap/d,0.65,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2019,2019,t,7379.71,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5611,Import quantity,S2511,Wheat and products,2020,2020,1000 t,992,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5072,Stock Variation,S2511,Wheat and products,2020,2020,1000 t,150,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5911,Export quantity,S2511,Wheat and products,2020,2020,1000 t,128,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5301,Domestic supply quantity,S2511,Wheat and products,2020,2020,1000 t,714,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5521,Feed,S2511,Wheat and products,2020,2020,1000 t,3,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5131,Processing,S2511,Wheat and products,2020,2020,1000 t,14,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5154,Other uses (non-food),S2511,Wheat and products,2020,2020,1000 t,0,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5170,Residuals,S2511,Wheat and products,2020,2020,1000 t,39,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,5142,Food,S2511,Wheat and products,2020,2020,1000 t,658,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2020,2020,kg/cap,20.63,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,664,Food supply (kcal/capita/day),S2511,Wheat and products,2020,2020,kcal/cap/d,137.4,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,661,Food supply (kcal),S2511,Wheat and products,2020,2020,million Kcal,1599240.69,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2020,2020,g/cap/d,4.33,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,671,Protein supply quantity (t),S2511,Wheat and products,2020,2020,t,50351.03,I,Value imputed by a receiving agency,
FBS,Food Balances (2010-),288,Ghana,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2020,2020,g/cap/d,0.71,E,Estimated value,
FBS,Food Balances (2010-),288,Ghana,681,Fat supply quantity (t),S2511,Wheat and products,2020,2020,t,8208.93,I,Value imputed by a receiving agency,
